Duty Cycle (ratio),PW (us),pos Delay (us),pos PW (us),pos Setpoint (V),y1,dep_rate_A_per_s,Ipk (A),BatchNr,FitNr
0.0375,48.5281153377,31.1600062285,1.2256003134,61.2130817824,1.2932404917,0.9348033705394446,0.4831307569,16,16.0
0.0266613308,26.8350762423,5.6893109528,31.6729789318,46.2092036466,1.2700679396,0.9180533693245848,0.7455140471,17,17.0
0.012,43.9441499367,1.9547287472,4.7241365951,90.6825993888,0.7989514406,0.5775124614204228,1.4585831933,18,18.0
0.0375,11.866549006,4.9668932944,11.3304821296,97.9973906925,1.3560867829,0.9802310579778702,0.4017401453,19,19.0
0.012,47.5214624313,36.0895700895,30.4418416322,7.9234112605,0.8262894376,0.5972734044959087,1.4412473051,20,20.0
0.0196192852,34.9473194451,32.6873232892,3.5053631653,28.673745832,1.2323202819,0.8907679279280323,0.9351527383,21,21.0
0.0277031914,7.1347543735,24.3977617515,0.5215754031,14.21624926,0.8894172422,0.6429045805173635,0.4294478747,22,22.0
0.012,31.7560523261,14.516344589,31.7160803696,92.6302652255,1.195432194,0.864103816246572,1.5018723029,23,23.0
0.012,49.0679626871,39.9336065729,0.1846255032,83.0701512663,0.7701235883,0.5566745943195954,1.4152738393,24,24.0
0.012,11.0755212455,9.0082037878,3.5497158344,19.5399713285,0.8706522905,0.6293405603604391,1.0600264677,25,25.0
0.012,23.9749251685,36.6942525321,10.6817270457,3.6021988379,0.9349057987,0.6757854377207105,1.4689820269,26,26.0
0.0214798879,35.8978087927,2.4614753126,30.2534957181,93.509226408,1.0777902584,0.7790677548013393,0.8754049944,27,27.0
0.0310707059,39.9826555559,38.8134810856,22.7965431431,7.5768055932,1.2210101351,0.8825925240354138,0.6052478844,28,28.0
0.0177715964,48.7553661401,39.5690116272,12.1083121607,95.4337158025,0.9623725203,0.6956394278286113,0.9143753153,29,29.0
0.017199304,5.249197781,16.7745483707,12.8368595986,85.7299241101,0.6924398889,0.5005218644126982,0.5108401734,30,30.0
0.0375,30.9528572333,29.3301957736,0.3964369291,48.8958447498,1.9400846753,1.4023669265245013,0.5225346437,31,31.0
0.0375,26.4049623655,4.6080427984,36.7547711481,5.3988470156,1.2589341074,0.9100054123248011,0.5307656478,32,32.0
0.012,40.7513515583,3.1547831678,35.5430345945,10.3018536373,0.7638302219,0.5521255099377522,1.4966897564,33,33.0
0.0262316614,49.0128375303,2.5359913817,38.3228627269,66.9739996792,1.1982235175,0.866121490942665,0.6433476994,34,34.0
0.012,5.5518372969,20.217118106,39.9355798975,16.4269189806,0.6734724681,0.48681149189646783,0.7325306882,35,35.0
0.012,22.164485106,3.2636295691,13.8883449585,95.8237935623,1.1587037136,0.8375550749311967,1.4412675494,36,36.0
0.0279620428,34.3859882783,37.6666090142,24.5548117839,94.8240846484,1.2401338204,0.8964158504702953,0.6970221465,37,37.0
0.0235302596,14.0980096295,13.3469915244,3.5241317859,66.1675551447,1.0702897192,0.7736460800470896,0.6710520548,38,38.0
0.0375,23.9754571576,21.1904460939,36.0793224827,92.1356476893,1.436006887,1.038000346185306,0.5182023587,39,39.0
0.0375,5.2462395227,36.8002182523,21.9102053,79.4536669994,0.8609997618,0.6223633458199884,0.2675388443,40,40.0
0.0375,39.210885083,31.0538326761,10.2534815488,96.2406790879,1.9382499106,1.4010406888782827,0.5203752493,41,41.0
0.0271942418,43.0351058727,2.4060379708,5.5755008769,75.0944586613,1.1978093239,0.8658220960692282,0.6779756131,42,42.0
0.0232228794,10.0311095115,10.0281397466,36.6008550539,88.4554183636,0.9548298181,0.6901872760557678,0.5809985601,43,43.0
0.0290508841,17.7520378593,3.1385602303,11.1390356819,5.4144908143,1.2645871239,0.9140916274656281,0.6078425318,44,44.0
